Day	EEU	ME	EME	SEA	FE	AF	EU	DU	CSA	NA	C1	C2	C3	C4
1	40	80	70	30	95	75	40	35	15	50	0	85	45	10
2	35	80	60	30	95	75	35	35	15	45	0	90	50	10
3	30	85	50	30	70	70	30	30	20	40	15	85	50	15
4	25	90	55	35	40	85	25	25	15	35	25	75	50	10
5	30	100	60	25	20	95	30	15	10	30	40	70	45	20
6	0	100	55	20	20	95	20	0	25	25	65	65	40	30
7	0	70	60	15	25	80	10	0	35	20	65	60	35	40
8	0	65	65	10	40	60	0	25	40	40	60	60	30	50
9	25	60	70	10	50	65	10	40	50	45	65	60	25	30
10	40	60	75	10	65	60	40	65	50	75	60	60	20	20
11	50	60	50	10	40	65	50	85	50	85	65	65	10	10
12	65	65	40	0	20	60	65	95	35	95	60	70	10	0
13	65	70	30	15	0	65	70	95	50	100	55	65	10	0
14	65	75	20	25	0	75	70	95	75	100	50	65	10	0
15	80	75	20	40	45	70	85	85	80	85	45	70	35	0
16	60	75	40	60	70	65	70	85	80	60	40	75	65	30
17	55	80	45	65	75	60	60	45	85	35	30	50	85	40
18	50	80	50	65	75	60	65	35	100	20	20	40	100	50
19	50	80	55	55	75	70	65	15	100	10	0	20	100	65
20	45	75	60	50	80	80	55	10	70	0	0	20	100	65
21	40	90	70	40	80	100	55	10	55	0	0	40	65	65
22	75	95	80	50	65	95	70	15	35	40	0	50	35	40
23	85	100	100	55	60	95	80	40	40	50	25	75	50	30
24	85	100	100	80	55	90	85	45	35	70	65	80	45	20
25	75	95	100	75	40	85	95	50	30	80	85	85	50	25
26	40	80	90	60	25	90	95	55	15	85	95	90	45	25
27	40	70	60	40	40	70	70	75	35	90	95	90	50	20
28	35	50	55	30	55	60	40	75	65	85	95	100	40	15
29	20	50	55	35	65	45	25	65	50	80	40	100	30	25
30	10	45	40	30	85	35	0	35	45	75	20	100	20	20
